2023-01-30 10:57:21MMSD103T1 getStockInfo exception: 'NoneType' object has no attribute 'find'
2023-01-30 10:58:57MMSD4148 getStockInfo exception: 'NoneType' object has no attribute 'find'
2023-01-30 20:33:40MMSZ5239BT1 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-30 22:45:40MMSZ5256ET1 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-30 23:48:56MMSZ5272BT3 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 00:19:37MMSZ7V5ET1 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 00:59:44NRVBA1H100T3G request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 02:56:17NRVHP8H200MFDT1G request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 03:36:22NRVUD620CTT4G request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 03:57:43SMMSZ4690T1G request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 06:41:54None request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 08:18:33None request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 20:51:01ACS709LLFTR-6BB-T request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 22:16:15ACS755SCB-130-PSF request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-02-01 03:34:06AUIRFS4310 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS4310 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711900>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS4310Z request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS4310Z (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227119f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS4310ZTRL request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS4310ZTRL (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711570>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS4410Z request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS4410Z (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711840>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS4610 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS4610 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711900>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS6535 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS6535 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227119f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS8403 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS8403 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711570>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS8403TRL request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS8403TRL (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711840>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS8405 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS8405 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711900>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS8405TRL request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS8405TRL (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227119f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
